2026-02-02T23:28:37.000000000Z [inf]  Starting Container
2026-02-02T23:28:37.827309855Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:28:37.827318355Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:28:37.840415888Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:28:37.840422531Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:28:37.846069216Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:28:37.852496777Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:28:37.853354242Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:28:37.859059699Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:28:37.870254723Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:28:37.875501877Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:28:37.880749646Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:28:37.886147774Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:28:37.892186520Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:28:37.904564008Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:28:38.630151552Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:28:38.776342310Z [inf]  11:28:38 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:28:38.776353167Z [err]  Startup error details: PathError [TypeError]: Unexpected + at index 20, expected end: /objects/:objectPath+; visit https://git.new/pathToRegexpError for info
2026-02-02T23:28:38.776361350Z [err]      at consumeUntil (/app/node_modules/path-to-regexp/dist/index.js:153:19)
2026-02-02T23:28:38.776368527Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:157:26)
2026-02-02T23:28:38.776376337Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:28:38.776384140Z [inf]  11:28:38 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:28:38.776385710Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:28:38.776389394Z [inf]  11:28:38 PM [express] Checking required environment variables for production...
2026-02-02T23:28:38.776394810Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:28:38.776395716Z [inf]  11:28:38 PM [express] ✓ All required environment variables are present
2026-02-02T23:28:38.776402052Z [inf]  11:28:38 PM [express] Registering routes and setting up server...
2026-02-02T23:28:38.776403136Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:28:38.776407043Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:28:38.776412691Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:28:38.776413135Z [inf]  11:28:38 PM [express] ✗ Fatal error during application startup: Unexpected + at index 20, expected end: /objects/:objectPath+; visit https://git.new/pathToRegexpError for info
2026-02-02T23:28:38.776421889Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
