2026-02-03T00:07:24.000000000Z [inf]  Starting Container
2026-02-03T00:07:25.103064308Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-03T00:07:25.103070285Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-03T00:07:25.103075834Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-03T00:07:25.103081409Z [inf]  [server-wrapper] Initializing database schema...
2026-02-03T00:07:25.103087083Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-03T00:07:25.103094069Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-03T00:07:25.103099929Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-03T00:07:25.103105482Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-03T00:07:25.103111268Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-03T00:07:25.103117212Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-03T00:07:25.103122841Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-03T00:07:25.103128523Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-03T00:07:25.103134089Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-03T00:07:25.103139758Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-03T00:07:25.103145471Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-03T00:07:25.103151868Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-03T00:07:25.103157948Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-03T00:07:25.103165801Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-03T00:07:25.103171817Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-03T00:07:25.103177465Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-03T00:07:25.104340360Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-03T00:07:25.104346835Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-03T00:07:25.104352655Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-03T00:07:25.104358618Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-03T00:07:25.104364491Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-03T00:07:25.104370404Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-03T00:07:25.408581884Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-03T00:07:25.429963078Z [inf]  12:07:25 AM [express] Starting EchoDeed application in production mode...
2026-02-03T00:07:25.429975368Z [inf]  12:07:25 AM [express] Checking required environment variables for production...
2026-02-03T00:07:25.429981611Z [inf]  12:07:25 AM [express] ✓ All required environment variables are present
2026-02-03T00:07:25.429987229Z [inf]  12:07:25 AM [express] Registering routes and setting up server...
2026-02-03T00:07:25.447567540Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-03T00:07:25.447573952Z [inf]  💜 Starting Pulse Check Scheduler Service...
2026-02-03T00:07:25.447579621Z [inf]  ✅ Pulse Check Scheduler running - checking every minute
2026-02-03T00:07:25.470179606Z [inf]  12:07:25 AM [express] ✓ Routes registered successfully
2026-02-03T00:07:25.470184929Z [inf]  12:07:25 AM [express] Setting up static file serving...
2026-02-03T00:07:25.470189754Z [inf]  12:07:25 AM [express] 📂 Production static path: /app/dist/public
2026-02-03T00:07:25.470194818Z [inf]  12:07:25 AM [express] ✗ Fatal error during application startup: Missing parameter name at index 1: *; visit https://git.new/pathToRegexpError for info
2026-02-03T00:07:25.470200151Z [inf]  12:07:25 AM [express] ✗ Application failed to initialize. Exiting...
2026-02-03T00:07:25.473499589Z [err]  }
2026-02-03T00:07:25.473534554Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 1: *; visit https://git.new/pathToRegexpError for info
2026-02-03T00:07:25.473540532Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
2026-02-03T00:07:25.473546989Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-03T00:07:25.473553263Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-03T00:07:25.473559070Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-03T00:07:25.473565112Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-03T00:07:25.473573035Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-03T00:07:25.473578859Z [err]      at Function.use (/app/node_modules/router/index.js:398:19)
2026-02-03T00:07:25.473584216Z [err]      at Function.<anonymous> (/app/node_modules/express/lib/application.js:222:21)
2026-02-03T00:07:25.473589670Z [err]      at Array.forEach (<anonymous>)
2026-02-03T00:07:25.473595088Z [err]      at Function.use (/app/node_modules/express/lib/application.js:219:7) {
2026-02-03T00:07:25.473600469Z [err]    originalPath: '*'
2026-02-03T00:07:27.197894435Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-03T00:07:27.197900316Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-03T00:07:27.197905152Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-03T00:07:27.197912554Z [inf]  [server-wrapper] Initializing database schema...
2026-02-03T00:07:27.197920090Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-03T00:07:27.197922163Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-03T00:07:27.197927518Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-03T00:07:27.197934859Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-03T00:07:27.197935429Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-03T00:07:27.197944711Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-03T00:07:27.197946516Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-03T00:07:27.197953552Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-03T00:07:27.197955117Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-03T00:07:27.197961735Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-03T00:07:27.197966878Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
