2026-02-02T23:23:54.000000000Z [inf]  Starting Container
2026-02-02T23:23:55.087106328Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:23:55.087111195Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:23:55.087111245Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:23:55.087114189Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:23:55.087117915Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:23:55.087118576Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:23:55.087121170Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:23:55.087124104Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:23:55.087128030Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:23:55.087131926Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:23:55.087134250Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:23:55.087137444Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:23:55.087138696Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:23:55.087140799Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:23:55.087143824Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:23:55.087143894Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:23:55.087147149Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:23:55.087151105Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:23:55.087153879Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:23:55.087157334Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:23:55.087546949Z [inf]  11:23:54 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:23:55.087549322Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:113:68)
2026-02-02T23:23:55.087549783Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:23:55.087551996Z [inf]  11:23:54 PM [express] Checking required environment variables for production...
2026-02-02T23:23:55.087552347Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:23:55.087553719Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:23:55.087554991Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:23:55.087556042Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:23:55.087557024Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:23:55.087559968Z [inf]  11:23:54 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:23:55.087560499Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:23:55.087561150Z [inf]  11:23:54 PM [express] ✗ Fatal error during application startup: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:55.087561340Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:23:55.087564555Z [err]  Startup error details: PathError [TypeError]: Missing parameter name at index 10: /objects/*; visit https://git.new/pathToRegexpError for info
2026-02-02T23:23:55.087566067Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:23:55.087569012Z [err]      at name (/app/node_modules/path-to-regexp/dist/index.js:96:19)
