2026-02-02T16:18:34.000000000Z [inf]  Starting Container
2026-02-02T16:18:34.882574817Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T16:18:34.882582220Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T16:18:34.882587532Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T16:18:34.882724796Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T16:18:34.882730569Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T16:18:34.882736866Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T16:18:34.882743616Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T16:18:34.882750269Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T16:18:34.882757086Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T16:18:34.882763631Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T16:18:34.882770087Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T16:18:34.882776951Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T16:18:34.882783266Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T16:18:34.882828272Z [inf]  🚀 Initializing database schema...
2026-02-02T16:18:34.882834236Z [inf]  📍 Database: postgres.railway.internal:5432
2026-02-02T16:18:34.882840568Z [inf]  ✅ Connected to database
2026-02-02T16:18:34.882846809Z [inf]  📊 Creating tables...
2026-02-02T16:18:34.882853139Z [inf]  ✅ Tables created
2026-02-02T16:18:34.882859772Z [inf]  🌱 Seeding mentor training modules...
2026-02-02T16:18:34.882868532Z [inf]  ✅ Seeded 6 mentor training modules
2026-02-02T16:18:34.882875434Z [inf]  🏆 Seeding badge definitions...
2026-02-02T16:18:34.882881812Z [inf]  ✅ Seeded 3 badge definitions
2026-02-02T16:18:34.882888123Z [inf]  
2026-02-02T16:18:34.882895958Z [inf]  ✅ Database initialization complete!
2026-02-02T16:18:34.882902209Z [inf]  🚀 Ready for server startup
2026-02-02T16:18:34.882906015Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T16:18:34.882910075Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T16:18:34.882913731Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T16:18:34.882917408Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T16:18:34.882921614Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T16:18:34.882925392Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T16:18:34.882929086Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T16:18:34.882934896Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T16:18:34.882941433Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T16:18:34.882947447Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T16:18:34.882953817Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T16:18:34.882959964Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T16:18:35.638997152Z [inf]  📊 Database URL detected (first 50 chars): postgresql://postgres:UkqhvRdNHImFDDCwCBOrHmJlPfNj...
2026-02-02T16:18:35.639012214Z [inf]  ✅ Using TCP PostgreSQL connection (pg library) for Railway
2026-02-02T16:18:35.662534177Z [inf]  4:18:35 PM [express] Starting EchoDeed application in production mode...
2026-02-02T16:18:35.662542847Z [inf]  4:18:35 PM [express] Checking required environment variables for production...
2026-02-02T16:18:35.662550891Z [inf]  4:18:35 PM [express] ✓ All required environment variables are present
2026-02-02T16:18:35.662559505Z [inf]  4:18:35 PM [express] Registering routes and setting up server...
2026-02-02T16:18:35.675548541Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T16:18:35.676562221Z [inf]  [RetryWorker] Started (interval ms): 60000
2026-02-02T16:18:35.685141919Z [inf]  💜 Starting Pulse Check Scheduler Service...
2026-02-02T16:18:35.685148662Z [inf]  ✅ Pulse Check Scheduler running - checking every minute
2026-02-02T16:18:35.694475258Z [inf]  4:18:35 PM [express] ✓ Routes registered successfully
2026-02-02T16:18:35.694481048Z [inf]  4:18:35 PM [express] Setting up static file serving...
2026-02-02T16:18:35.694486773Z [inf]  4:18:35 PM [express] ✓ Static file serving configured for production
2026-02-02T16:18:35.694492359Z [inf]  4:18:35 PM [express] Starting server on 0.0.0.0:8080...
2026-02-02T16:18:35.694505437Z [inf]  4:18:35 PM [express] DEBUG: Server object type: object, has listen: function
2026-02-02T16:18:35.695710468Z [inf]  4:18:35 PM [express] ✓ EchoDeed application successfully started and serving on port 8080
2026-02-02T16:18:35.695719486Z [inf]  4:18:35 PM [express] ✓ Server is accessible at http://0.0.0.0:8080
2026-02-02T16:18:35.695729149Z [inf]  4:18:35 PM [express] ✓ Environment: production
2026-02-02T16:18:35.695736523Z [inf]  4:18:35 PM [express] ✓ No background schedulers required for high school FERPA compliance
2026-02-02T16:19:15.693914787Z [inf]  🎁 Fetching reward offers (optimized for demo)...
2026-02-02T16:19:15.693928713Z [inf]  🎁 Returning 0 unique offers (out of 0 total) - optimized for demo
2026-02-02T16:19:15.693936473Z [inf]  4:19:09 PM [express] GET /api/rewards/offers/all/all 200 in 83ms :: []
2026-02-02T16:19:15.693943025Z [inf]  4:19:09 PM [express] GET /api/auth/user 200 in 96ms :: {"id":"student-001","email":"sofia.rodriguez@…
2026-02-02T16:19:15.693949510Z [inf]  4:19:09 PM [express] GET /api/tokens 200 in 104ms :: {"userId":"student-001","echoBalance":1103,"tot…
2026-02-02T16:19:19.091202590Z [inf]  4:19:19 PM [express] GET /api/tokens 200 in 98ms :: {"userId":"student-001","echoBalance":1103,"tota…
2026-02-02T16:19:19.091214930Z [inf]  4:19:19 PM [express] GET /api/pulse-check/today 200 in 84ms :: {"hasCheckedToday":false}
2026-02-02T16:19:19.091215514Z [inf]  4:19:18 PM [express] GET /api/counter 200 in 7ms :: {"count":0}
2026-02-02T16:19:19.091219951Z [inf]  🎁 Returning 0 unique offers (out of 0 total) - optimized for demo
2026-02-02T16:19:19.091224230Z [inf]  🎁 Fetching reward offers (optimized for demo)...
2026-02-02T16:19:19.091226035Z [inf]  4:19:19 PM [express] GET /api/rewards/offers/all/all 200 in 84ms :: []
2026-02-02T16:19:19.091230741Z [inf]  4:19:18 PM [express] GET /api/posts 200 in 10ms :: []
2026-02-02T16:19:19.091231941Z [inf]  4:19:19 PM [express] GET /api/auth/user 200 in 99ms :: {"id":"student-001","email":"sofia.rodriguez@…
2026-02-02T16:19:19.091238773Z [inf]  4:19:18 PM [express] GET /api/school-level/config 200 in 32ms :: {"level":"high_school","displayName…
