2026-02-02T23:33:29.000000000Z [inf]  Starting Container
2026-02-02T23:33:31.019993074Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:33:31.019997786Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:33:31.020003130Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:33:31.020008525Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:33:31.020013455Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:33:31.020018880Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:33:31.020025234Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:33:31.020029401Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:33:31.020034318Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:33:31.020039431Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:33:31.020043431Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:33:31.020047334Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:33:31.020054308Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:33:31.020060276Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:33:31.020066023Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:33:31.020072422Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:33:31.020077842Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:33:31.020083574Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:33:31.020088506Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:33:31.020094389Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:33:32.003155472Z [err]  }
2026-02-02T23:33:32.003515538Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:33:32.003522565Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:33:32.003530075Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:33:32.003537234Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
