2026-02-02T17:40:43.000000000Z [inf]  Starting Container
2026-02-02T17:40:44.387216203Z [inf]  📊 Creating tables...
2026-02-02T17:40:44.387229053Z [inf]  ✅ Tables created
2026-02-02T17:40:44.387242203Z [inf]  🌱 Seeding mentor training modules...
2026-02-02T17:40:44.387247378Z [inf]  ✅ Seeded 6 mentor training modules
2026-02-02T17:40:44.387252949Z [inf]  🏆 Seeding badge definitions...
2026-02-02T17:40:44.387258832Z [inf]  ✅ Seeded 3 badge definitions
2026-02-02T17:40:44.387264013Z [inf]  
2026-02-02T17:40:44.387269454Z [inf]  ✅ Database initialization complete!
2026-02-02T17:40:44.387275308Z [inf]  🚀 Ready for server startup
2026-02-02T17:40:44.387281545Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T17:40:44.387286638Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T17:40:44.387292462Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T17:40:44.387299201Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T17:40:44.387304999Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T17:40:44.387311295Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T17:40:44.387316289Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T17:40:44.387320660Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T17:40:44.387326458Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T17:40:44.387333205Z [inf]  🚀 Initializing database schema...
2026-02-02T17:40:44.387337731Z [inf]  📍 Database: postgres.railway.internal:5432
2026-02-02T17:40:44.387342204Z [inf]  ✅ Connected to database
2026-02-02T17:40:44.390930574Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T17:40:44.422483945Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T17:40:44.439861710Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T17:40:44.464920223Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T17:40:44.481661341Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T17:40:44.504864098Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T17:40:44.524195553Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T17:40:44.553839103Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T17:40:44.565377577Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
