2026-02-02T16:52:45.000000000Z [inf]  Starting Container
2026-02-02T16:52:46.393202482Z [inf]  ✅ Tables created
2026-02-02T16:52:46.393228541Z [inf]  🌱 Seeding mentor training modules...
2026-02-02T16:52:46.393240705Z [inf]  ✅ Seeded 6 mentor training modules
2026-02-02T16:52:46.393251088Z [inf]  🏆 Seeding badge definitions...
2026-02-02T16:52:46.393260336Z [inf]  ✅ Seeded 3 badge definitions
2026-02-02T16:52:46.393271045Z [inf]  
2026-02-02T16:52:46.393285560Z [inf]  ✅ Database initialization complete!
2026-02-02T16:52:46.393295153Z [inf]  🚀 Ready for server startup
2026-02-02T16:52:46.393306007Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T16:52:46.393315294Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T16:52:46.393323067Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T16:52:46.393332420Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T16:52:46.393344448Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T16:52:46.393354012Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T16:52:46.393363924Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T16:52:46.393373454Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T16:52:46.393381526Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T16:52:46.393390678Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T16:52:46.393400384Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T16:52:46.393409011Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T16:52:46.394010430Z [inf]  🚀 Initializing database schema...
2026-02-02T16:52:46.394016718Z [inf]  📍 Database: postgres.railway.internal:5432
2026-02-02T16:52:46.394023099Z [inf]  ✅ Connected to database
2026-02-02T16:52:46.394031452Z [inf]  📊 Creating tables...
2026-02-02T16:52:46.398387160Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T16:52:46.398392449Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T16:52:46.398396621Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T16:52:46.398401732Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T16:52:46.398405752Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T16:52:46.398409887Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
