2026-02-02T23:31:00.000000000Z [inf]  Starting Container
2026-02-02T23:31:01.842337544Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:31:01.842342208Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:31:01.842348036Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:31:01.842350432Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:31:01.842353232Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:31:01.842358391Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:31:01.842359918Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:31:01.842362208Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:31:01.842372345Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:31:01.842376041Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:31:01.842376471Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:31:01.842376993Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:31:01.842377375Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:31:01.842390134Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:31:01.842390148Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:31:01.842395115Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:31:01.842400779Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:31:01.842404664Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:31:01.842578598Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:31:01.842589748Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:31:01.843955599Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:31:01.843959840Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
2026-02-02T23:31:01.843964286Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id UUID type...
2026-02-02T23:31:01.843968594Z [inf]  [server-wrapper] 🔧 Adding users.school_level column...
2026-02-02T23:31:01.843972525Z [inf]  [server-wrapper] 🔧 Ensuring test users have high_school level...
2026-02-02T23:31:01.843976653Z [inf]  [server-wrapper] ✅ Schema fixes applied
2026-02-02T23:31:01.952818862Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-02T23:31:01.971394788Z [inf]  11:31:01 PM [express] Starting EchoDeed application in production mode...
2026-02-02T23:31:01.971404493Z [inf]  11:31:01 PM [express] Checking required environment variables for production...
2026-02-02T23:31:01.971412701Z [inf]  11:31:01 PM [express] ✓ All required environment variables are present
2026-02-02T23:31:01.971418766Z [inf]  11:31:01 PM [express] Registering routes and setting up server...
2026-02-02T23:31:01.985255289Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-02T23:31:01.985260178Z [inf]  11:31:01 PM [express] ✗ Fatal error during application startup: Unexpected ( at index 20, expected end: /objects/:objectPath(.+); visit https://git.new/pathToRegexpError for info
2026-02-02T23:31:01.985264526Z [inf]  11:31:01 PM [express] ✗ Application failed to initialize. Exiting...
2026-02-02T23:31:01.993166663Z [err]  Startup error details: PathError [TypeError]: Unexpected ( at index 20, expected end: /objects/:objectPath(.+); visit https://git.new/pathToRegexpError for info
2026-02-02T23:31:01.993175415Z [err]      at consumeUntil (/app/node_modules/path-to-regexp/dist/index.js:153:19)
2026-02-02T23:31:01.993183032Z [err]      at parse (/app/node_modules/path-to-regexp/dist/index.js:157:26)
2026-02-02T23:31:01.993192001Z [err]      at pathToRegexp (/app/node_modules/path-to-regexp/dist/index.js:267:58)
2026-02-02T23:31:01.993199572Z [err]      at Object.match (/app/node_modules/path-to-regexp/dist/index.js:237:30)
2026-02-02T23:31:01.993207284Z [err]      at matcher (/app/node_modules/router/lib/layer.js:86:23)
2026-02-02T23:31:01.993214465Z [err]      at new Layer (/app/node_modules/router/lib/layer.js:93:62)
2026-02-02T23:31:01.993220736Z [err]      at Function.route (/app/node_modules/router/index.js:428:17)
2026-02-02T23:31:01.993229972Z [err]      at Function.route (/app/node_modules/express/lib/application.js:257:22)
2026-02-02T23:31:01.993237771Z [err]      at app.<computed> [as get] (/app/node_modules/express/lib/application.js:478:22)
2026-02-02T23:31:01.993245712Z [err]      at registerRoutes (file:///app/dist/index.js:35559:8) {
2026-02-02T23:31:01.993253899Z [err]    originalPath: '/objects/:objectPath(.+)'
2026-02-02T23:31:01.993259806Z [err]  }
2026-02-02T23:31:02.846951103Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_name column...
2026-02-02T23:31:02.846958813Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-02T23:31:02.846965420Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-02T23:31:02.846967181Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-02T23:31:02.846972252Z [inf]  [server-wrapper] Initializing database schema...
2026-02-02T23:31:02.846985681Z [inf]  [server-wrapper] ✅ Connected to database
2026-02-02T23:31:02.846997408Z [inf]  [server-wrapper] ℹ️ Database already has 86 tables - skipping schema recreation
2026-02-02T23:31:02.847002928Z [inf]  [server-wrapper] ✅ Existing data preserved on restart
2026-02-02T23:31:02.847007227Z [inf]  [server-wrapper] Applying production schema fixes...
2026-02-02T23:31:02.847011439Z [inf]  [server-wrapper] 🔧 Fixing pulse_checks.support_score column...
2026-02-02T23:31:02.847046675Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.color column...
2026-02-02T23:31:02.847059366Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.requirements column...
2026-02-02T23:31:02.847075001Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.is_active column...
2026-02-02T23:31:02.847080768Z [inf]  [server-wrapper] 🔧 Fixing badge_definitions.sort_order column...
2026-02-02T23:31:02.848229403Z [inf]  [server-wrapper] 🔧 Fixing mentor_activities.mentorship_id column...
2026-02-02T23:31:02.852772456Z [inf]  [server-wrapper] 🔧 Fixing mentorships.kindness_goal column...
2026-02-02T23:31:02.860295581Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.badge_icon column...
2026-02-02T23:31:02.864342151Z [inf]  [server-wrapper] 🔧 Fixing mentorships.progress_notes column...
2026-02-02T23:31:02.870302927Z [inf]  [server-wrapper] 🔧 Fixing mentorships.next_session_at column...
2026-02-02T23:31:02.890044388Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.category column...
2026-02-02T23:31:02.896127795Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.token_reward column...
2026-02-02T23:31:02.902402767Z [inf]  [server-wrapper] 🔧 Fixing mentor_badges.rarity column...
