2026-02-04T19:38:09.000000000Z [inf]  Starting Container
2026-02-04T19:38:09.883208739Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-04T19:38:09.883243531Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-04T19:38:09.883249340Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-04T19:38:09.918186828Z [inf]  📧 Email service initialized in demo/skip mode (no real emails will be sent)
2026-02-04T19:38:09.929899337Z [inf]  7:38:09 PM [express] Starting EchoDeed application in production mode...
2026-02-04T19:38:09.930648701Z [inf]  7:38:09 PM [express] Checking required environment variables for production...
2026-02-04T19:38:09.930651846Z [inf]  7:38:09 PM [express] ✓ All required environment variables are present
2026-02-04T19:38:09.930654841Z [inf]  7:38:09 PM [express] Registering routes and setting up server...
2026-02-04T19:38:09.938030724Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-04T19:38:09.938937635Z [inf]  [RetryWorker] Started (interval ms): 60000
2026-02-04T19:38:09.940554741Z [inf]  💜 Starting Pulse Check Scheduler Service...
2026-02-04T19:38:09.940557955Z [inf]  ✅ Pulse Check Scheduler running - checking every minute
2026-02-04T19:38:09.949829573Z [inf]  7:38:09 PM [express] ✓ Routes registered successfully
2026-02-04T19:38:10.038012250Z [inf]  7:38:10 PM [express] ✓ Ensured pulse_checks.anon_tracking_id exists
2026-02-04T19:38:10.060544879Z [inf]  7:38:10 PM [express] ✓ Converted mentorships.mentor_id to VARCHAR
2026-02-04T19:38:10.074048876Z [inf]  7:38:10 PM [express] ✓ Converted mentorships.mentee_id to VARCHAR
2026-02-04T19:38:10.083477379Z [inf]  7:38:10 PM [express] ✓ Converted mentor_activities.mentorship_id to VARCHAR
2026-02-04T19:38:10.084243468Z [inf]  7:38:10 PM [relation "mentor_training_progress" does not exist] ⚠️ mentor_training_progress.user_id conversion failed:
2026-02-04T19:38:10.127082939Z [inf]  7:38:10 PM [express] ✓ Converted community_service_logs.user_id to VARCHAR
2026-02-04T19:38:10.133889970Z [inf]  7:38:10 PM [express] ✓ Ensured badge_definitions.color exists
2026-02-04T19:38:10.149855659Z [inf]  7:38:10 PM [express] ✓ Ensured badge_definitions.requirements exists
2026-02-04T19:38:10.167243411Z [inf]  7:38:10 PM [express] ✓ Ensured badge_definitions.is_active is boolean
2026-02-04T19:38:10.185611544Z [inf]  7:38:10 PM [express] ✓ Ensured mentor_badge_awards.awarded_by is uuid
2026-02-04T19:38:10.213196022Z [inf]  7:38:10 PM [express] ✓ Ensured mentor-related user id columns accept string IDs
2026-02-04T19:38:10.218996753Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.rejected_hours column
2026-02-04T19:38:10.225545907Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.scheduled_at column
2026-02-04T19:38:10.231735071Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.total_tokens_earned column
2026-02-04T19:38:10.236405797Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.is_completed column
2026-02-04T19:38:10.241181911Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.total_service_sessions column
2026-02-04T19:38:10.258474711Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.mentor_reflection column
2026-02-04T19:38:10.270208803Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.mentee_reflection column
2026-02-04T19:38:10.276059879Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.completed_at column
2026-02-04T19:38:10.281042133Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.kindness_act_discussed column
2026-02-04T19:38:10.292536585Z [inf]  7:38:10 PM [express] ✓ Added mentor_activities.created_at column
2026-02-04T19:38:10.303835835Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.annual_goal_hours column
2026-02-04T19:38:10.313171849Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.current_school_year column
2026-02-04T19:38:10.324488834Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.current_streak column
2026-02-04T19:38:10.330290648Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.longest_streak column
2026-02-04T19:38:10.336365520Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.last_service_date column
2026-02-04T19:38:10.345574844Z [inf]  7:38:10 PM [express] ✓ Added student_service_summaries.last_updated column
2026-02-04T19:38:10.350596647Z [inf]  7:38:10 PM [default for column "id" cannot be cast automatically to type uuid] ⚠️ mentor activity mentorship_id migration failed:
