2026-02-04T19:17:00.000000000Z [inf]  Starting Container
2026-02-04T19:17:01.123106347Z [inf]  7:17:00 PM [express] ✓ Converted mentorships.mentor_id to VARCHAR
2026-02-04T19:17:01.123114058Z [inf]  7:17:00 PM [express] ✓ Converted mentorships.mentee_id to VARCHAR
2026-02-04T19:17:01.123118885Z [inf]  7:17:00 PM [express] ✓ Converted mentor_activities.mentorship_id to VARCHAR
2026-02-04T19:17:01.123123022Z [inf]  7:17:00 PM [relation "mentor_training_progress" does not exist] ⚠️ mentor_training_progress.user_id conversion failed:
2026-02-04T19:17:01.123127518Z [inf]  7:17:00 PM [express] ✓ Converted community_service_logs.user_id to VARCHAR
2026-02-04T19:17:01.123213918Z [inf]  7:17:00 PM [express] ✓ Ensured badge_definitions.color exists
2026-02-04T19:17:01.123217714Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.total_service_sessions column
2026-02-04T19:17:01.123219566Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.current_streak column
2026-02-04T19:17:01.123224824Z [inf]  7:17:00 PM [express] ✓ Ensured badge_definitions.requirements exists
2026-02-04T19:17:01.123226317Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.mentor_reflection column
2026-02-04T19:17:01.123232406Z [inf]  7:17:00 PM [express] ✓ Ensured badge_definitions.is_active is boolean
2026-02-04T19:17:01.123236282Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.mentee_reflection column
2026-02-04T19:17:01.123237934Z [inf]  7:17:00 PM [express] ✓ Ensured mentor_badge_awards.awarded_by is uuid
2026-02-04T19:17:01.123243943Z [inf]  7:17:01 PM [express] ✓ Ensured mentor-related user id columns accept string IDs
2026-02-04T19:17:01.123247148Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-04T19:17:01.123247769Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.completed_at column
2026-02-04T19:17:01.123250913Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.rejected_hours column
2026-02-04T19:17:01.123251895Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-04T19:17:01.123257844Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.kindness_act_discussed column
2026-02-04T19:17:01.123258034Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.scheduled_at column
2026-02-04T19:17:01.123258855Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-04T19:17:01.123265375Z [inf]  📧 Email service initialized in demo/skip mode (no real emails will be sent)
2026-02-04T19:17:01.123265445Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.total_tokens_earned column
2026-02-04T19:17:01.123269001Z [inf]  7:17:01 PM [express] ✓ Added mentor_activities.created_at column
2026-02-04T19:17:01.123272065Z [inf]  7:17:00 PM [express] Starting EchoDeed application in production mode...
2026-02-04T19:17:01.123278124Z [inf]  7:17:00 PM [express] Checking required environment variables for production...
2026-02-04T19:17:01.123279186Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.annual_goal_hours column
2026-02-04T19:17:01.123283472Z [inf]  7:17:00 PM [express] ✓ All required environment variables are present
2026-02-04T19:17:01.123286567Z [inf]  7:17:01 PM [express] ✓ Added student_service_summaries.current_school_year column
2026-02-04T19:17:01.123290152Z [inf]  7:17:00 PM [express] Registering routes and setting up server...
2026-02-04T19:17:01.123293577Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-04T19:17:01.123297163Z [inf]  [RetryWorker] Started (interval ms): 60000
2026-02-04T19:17:01.123300318Z [inf]  💜 Starting Pulse Check Scheduler Service...
