2026-02-04T14:26:00.000000000Z [inf]  Starting Container
2026-02-04T14:26:01.209524211Z [inf]  [server-wrapper] No .env file found, using Railway environment variables
2026-02-04T14:26:01.209531051Z [inf]  [server-wrapper] Starting server with PORT: 8080
2026-02-04T14:26:01.209561111Z [inf]  [server-wrapper] Checking for .env file at: /app/.env
2026-02-04T14:26:01.541473333Z [inf]  📧 Email service initialized in demo/skip mode (no real emails will be sent)
2026-02-04T14:26:01.557147895Z [inf]  2:26:01 PM [express] Starting EchoDeed application in production mode...
2026-02-04T14:26:01.557153405Z [inf]  2:26:01 PM [express] Checking required environment variables for production...
2026-02-04T14:26:01.557158745Z [inf]  2:26:01 PM [express] ✓ All required environment variables are present
2026-02-04T14:26:01.557164985Z [inf]  2:26:01 PM [express] Registering routes and setting up server...
2026-02-04T14:26:01.567825760Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-04T14:26:01.567831720Z [inf]  [RetryWorker] Started (interval ms): 60000
2026-02-04T14:26:01.568875745Z [inf]  💜 Starting Pulse Check Scheduler Service...
2026-02-04T14:26:01.570641899Z [inf]  ✅ Pulse Check Scheduler running - checking every minute
2026-02-04T14:26:01.588961284Z [inf]  2:26:01 PM [express] ✓ Routes registered successfully
2026-02-04T14:26:01.720157429Z [inf]  2:26:01 PM [express] ✓ Ensured pulse_checks.anon_tracking_id exists
2026-02-04T14:26:01.725964705Z [inf]  2:26:01 PM [express] ✓ Ensured badge_definitions.color exists
2026-02-04T14:26:01.740911848Z [inf]  2:26:01 PM [express] ✓ Ensured badge_definitions.requirements exists
2026-02-04T14:26:01.768383650Z [inf]  2:26:01 PM [express] ✓ Ensured badge_definitions.is_active is boolean
2026-02-04T14:26:01.792962992Z [inf]  2:26:01 PM [express] ✓ Ensured mentor_badge_awards.awarded_by is uuid
2026-02-04T14:26:01.840694379Z [inf]  2:26:01 PM [express] ✓ Ensured mentor-related user id columns accept string IDs
2026-02-04T14:26:01.842850769Z [inf]  2:26:01 PM [default for column "id" cannot be cast automatically to type uuid] ⚠️ mentor activity mentorship_id migration failed:
2026-02-04T14:26:01.870837732Z [inf]  2:26:01 PM [express] Badge definitions missing requirements - re-seeding badge definitions...
2026-02-04T14:26:01.870845452Z [inf]  2:26:01 PM [seedBadgeDefinitions is not defined] ⚠️ Mentor training seed check failed:
2026-02-04T14:26:01.870849182Z [inf]  2:26:01 PM [express] Setting up static file serving...
2026-02-04T14:26:01.870852882Z [inf]  2:26:01 PM [express] ✓ Static file serving configured for production
2026-02-04T14:26:01.870856792Z [inf]  2:26:01 PM [express] Starting server on 0.0.0.0:8080...
2026-02-04T14:26:01.870861252Z [inf]  2:26:01 PM [express] ✓ EchoDeed application successfully started and serving on port 8080
2026-02-04T14:26:01.870864392Z [inf]  2:26:01 PM [express] ✓ Server is accessible at http://0.0.0.0:8080
2026-02-04T14:26:01.870867412Z [inf]  2:26:01 PM [express] ✓ Environment: production
2026-02-04T14:26:01.870871311Z [inf]  2:26:01 PM [express] ✓ No background schedulers required for high school FERPA compliance
2026-02-04T14:26:01.870874281Z [inf]  2:26:01 PM [express] Initializing sample data in background...
2026-02-04T14:26:01.870877371Z [inf]  2:26:01 PM [express] ================================================================================
2026-02-04T14:26:01.870880551Z [inf]  2:26:01 PM [express] 🚀 INITIALIZING DEMO DATA
2026-02-04T14:26:01.870885211Z [inf]  2:26:01 PM [express] 📍 Environment: production
2026-02-04T14:26:01.870888371Z [inf]  2:26:01 PM [express] 🎭 DEMO_MODE: true
2026-02-04T14:26:01.871987525Z [inf]  2:26:01 PM [express] 🗄️  Database URL: postgresql://postgres:UkqhvRdNHImFDDCwCBOrHmJlPfNj...
2026-02-04T14:26:01.871993645Z [inf]  2:26:01 PM [express] ================================================================================
2026-02-04T14:26:01.884769200Z [inf]  2:26:01 PM [express] ✗ Database connection failed: Failed query: select "id", "count", "updated_at" from "kindness_counter" where "kindness_counter"."id" = $1
2026-02-04T14:26:01.884773950Z [inf]  params: global
2026-02-04T14:26:01.884777180Z [inf]  2:26:01 PM [express] ✗ Error initializing sample data: Database connection failed during startup: Failed query: select "id", "count", "updated_at" from "kindness_counter" where "kindness_counter"."id" = $1
2026-02-04T14:26:01.884780140Z [inf]  params: global
2026-02-04T14:26:01.884782950Z [inf]  2:26:01 PM [express] ⚠️ Sample data initialization failed (non-fatal): Error: Sample data initialization failed: Database connection failed during startup: Failed query: select "id", "count", "updated_at" from "kindness_counter" where "kindness_counter"."id" = $1
2026-02-04T14:26:01.884785940Z [inf]  params: global
2026-02-04T14:26:02.567984013Z [inf]  ⚠️ Subscription plans initialization temporarily disabled due to schema mismatch
