2026-02-05T01:57:17.000000000Z [inf]  Starting Container
2026-02-05T01:57:17.992779707Z [err]  npm warn config production Use `--omit=dev` instead.
2026-02-05T01:57:17.992785252Z [inf]  
2026-02-05T01:57:17.992789650Z [inf]  > rest-express@1.0.0 start
2026-02-05T01:57:17.992794685Z [inf]  > NODE_ENV=production node dist/index.js
2026-02-05T01:57:17.992799555Z [inf]  
2026-02-05T01:57:18.267239973Z [inf]  📧 Email service initialized in demo mode (logging only)
2026-02-05T01:57:18.280563695Z [inf]  1:57:18 AM [express] Starting EchoDeed application in production mode...
2026-02-05T01:57:18.280568080Z [inf]  1:57:18 AM [express] Checking required environment variables for production...
2026-02-05T01:57:18.280572417Z [inf]  1:57:18 AM [express] ✓ All required environment variables are present
2026-02-05T01:57:18.280576511Z [inf]  1:57:18 AM [express] Registering routes and setting up server...
2026-02-05T01:57:18.317974328Z [inf]  Running in non-Replit environment - using demo authentication mode
2026-02-05T01:57:18.317979043Z [inf]  💜 Starting Pulse Check Scheduler Service...
2026-02-05T01:57:18.317983368Z [inf]  ✅ Pulse Check Scheduler running - checking every minute
2026-02-05T01:57:18.317987280Z [inf]  1:57:18 AM [express] ✓ Routes registered successfully
2026-02-05T01:57:18.317991231Z [inf]  1:57:18 AM [express] Setting up static file serving...
2026-02-05T01:57:18.317995851Z [inf]  1:57:18 AM [express] 📂 Production static path: /app/dist/public
2026-02-05T01:57:18.317999557Z [inf]  1:57:18 AM [express] ✓ Static file serving configured for production
2026-02-05T01:57:18.318003615Z [inf]  1:57:18 AM [express] Starting server on 0.0.0.0:8080...
2026-02-05T01:57:18.318007186Z [inf]  1:57:18 AM [express] ✓ EchoDeed application successfully started and serving on port 8080
2026-02-05T01:57:18.318010808Z [inf]  1:57:18 AM [express] ✓ Server is accessible at http://0.0.0.0:8080
2026-02-05T01:57:18.318015373Z [inf]  1:57:18 AM [express] ✓ Environment: production
2026-02-05T01:57:18.318019316Z [inf]  1:57:18 AM [express] ✓ No background schedulers required for high school FERPA compliance
2026-02-05T01:57:18.318022907Z [inf]  1:57:18 AM [express] Initializing sample data in background...
2026-02-05T01:57:18.318026664Z [inf]  1:57:18 AM [express] ================================================================================
2026-02-05T01:57:18.318030726Z [inf]  1:57:18 AM [express] 🚀 INITIALIZING DEMO DATA
2026-02-05T01:57:18.318034705Z [inf]  1:57:18 AM [express] 📍 Environment: production
2026-02-05T01:57:18.318038659Z [inf]  1:57:18 AM [express] 🎭 DEMO_MODE: true
2026-02-05T01:57:18.318042386Z [inf]  1:57:18 AM [express] 🗄️  Database URL: postgresql://postgres:UkqhvRdNHImFDDCwCBOrHmJlPfNj...
2026-02-05T01:57:18.318046105Z [inf]  1:57:18 AM [express] ================================================================================
2026-02-05T01:57:18.453838007Z [inf]  1:57:18 AM [express] ✗ Database connection failed: 
2026-02-05T01:57:18.453845132Z [inf]  1:57:18 AM [express] ✗ Error initializing sample data: Database connection failed during startup: 
2026-02-05T01:57:18.453852166Z [inf]  1:57:18 AM [express] ⚠️ Sample data initialization failed (non-fatal): Error: Sample data initialization failed: Database connection failed during startup: 
2026-02-05T01:57:19.292200297Z [inf]  ⚠️ Subscription plans initialization temporarily disabled due to schema mismatch
2026-02-05T01:57:49.400567590Z [err]      _closeMessage: <Buffer >,
2026-02-05T01:57:49.400579053Z [err]      _closeTimer: null,
2026-02-05T01:57:49.400589764Z [err]      _errorEmitted: true,
2026-02-05T01:57:49.400590248Z [err]    [Symbol(kError)]: AggregateError [ECONNREFUSED]: 
2026-02-05T01:57:49.400598782Z [err]      _extensions: {},
2026-02-05T01:57:49.400600750Z [err]    },
2026-02-05T01:57:49.400604387Z [err]        at internalConnectMultiple (node:net:1122:18)
2026-02-05T01:57:49.400609179Z [err]      _paused: false,
2026-02-05T01:57:49.400615022Z [err]    [Symbol(kMessage)]: ''
2026-02-05T01:57:49.400616434Z [err]        at afterConnectMultiple (node:net:1689:7) {
2026-02-05T01:57:49.400620464Z [err]      _protocol: '',
2026-02-05T01:57:49.400627695Z [err]  }
2026-02-05T01:57:49.400628535Z [err]      code: 'ECONNREFUSED',
2026-02-05T01:57:49.400631927Z [err]      _readyState: 3,
2026-02-05T01:57:49.400638788Z [err]  Failed to get reward offers: ErrorEvent {
2026-02-05T01:57:49.400638837Z [err]      [errors]: [ [Error], [Error] ]
2026-02-05T01:57:49.400643413Z [err]      _receiver: null,
2026-02-05T01:57:49.400649339Z [inf]  🎁 Fetching reward offers (optimized for demo)...
2026-02-05T01:57:49.400651115Z [err]      _sender: null,
2026-02-05T01:57:49.400656214Z [inf]  1:57:47 AM [express] GET /api/surprise-giveaways/check-user 200 in 1ms :: {"hasGiveaway":false,"give…
